RecordID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Fach|Signatur|URL
001384862|Metzig, Werner|Lernen zu lernen|7|2006|978-3-540-29252-4|ger|cofz , text , lb01  BSO ,|AK 39500 M596|http://dx.doi.org/10.1007/3-540-29252-7
001700165|Mody, Bella|International and development communication||2003|0-7619-2901-0|eng|cofz , text , lb25  BSO ,|AP 13950 M692|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10581915
001541692|Moosbrugger, Helfried|Testtheorie und Fragebogenkonstruktion|2., aktualisierte und überarbeitete Auflage|2012|978-3-642-20072-4|ger|cofz , text , lb03  BSO ,|CM 3000 M825(2)|http://dx.doi.org/10.1007/978-3-642-20072-4
001339049|Mosler, Karl C.|Beschreibende Statistik und Wirtschaftsstatistik|Dritte Auflage|2006|978-3-540-37459-6|ger|cofz , text , lb08  BSO ,|QH 240 M912(3)|http://dx.doi.org/10.1007/978-3-540-37459-6
001526140|Musielak, Hans-Joachim|Examenskurs BGB|2., neu bearb.Aufl.|2010||ger|cofz , text , lb09  BSO ,|PD 2700 M987 E96(2)|http://ebibliothek.beck.de/Default.aspx?vpath=bibdata/komm/MusHdbExBGB%5F2/cont/MusHdbExBGB.htm
001586090|Musielak, Hans-Joachim|Grundkurs ZPO|11., neubearb. Aufl.|2012||ger|cofz , text , lb09  BSO ,|PG 455 M987(11)|http://ebibliothek.beck.de/?vpath=bibdata/komm/MusHdbZPO%5F11/cont/MusHdbZPO.htm
001576776|Mädche, Alexander|Software for People||2012|978-3-642-31371-4|eng|cofz , text , lb12  BSO ,|ST 230 M184|http://dx.doi.org/10.1007/978-3-642-31371-4
001563959|Müller, Natascha|Einführung in die Mehrsprachigkeitsforschung|3., überarb. Aufl.|2011|978-3-8233-6674-4|ger|cofz , text , lb27  BSO ,|ER 930 M947|http://www.digicontent.narr.de/17674/9783823376743.pdf
001510163|Müller-Benedict, Volker|Grundkurs Statistik in den Sozialwissenschaften|5|2011|978-3-531-93225-5|ger|cofz , text , lb06  BSO ,|MR 2100 M947|http://dx.doi.org/10.1007/978-3-531-93225-5
001700043|Müller-Lancé, Johannes|Latein für Romanisten|2., aktual. Aufl.|2012|978-3-8233-6694-2|ger|cofz , text , lb30  BSO ,|FN 3481 M947|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10529577
001638174|Müller-Stewens, Günter|Corporate strategy & governance||2009|978-3-7910-2854-5|ger|cofz , text , lb08  BSO ,|QP 341 M947|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10555979
001395562|Müller-Thurau, Claus Peter|101 Fragen und Antworten im Vorstellungsgespräch|3., aktualis. Aufl.|2008||ger|cofz , text , lb01  BSO ,|AL 43950 M947 V955|http://ebooks.ciando.com/book/index.cfm/bok%5Fid/17826
