Aleph-ID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Signatur|Fach
001619345|Bitter, Georg|BGB, Allgemeiner Teil|2., neu bearb. Aufl.|2013|978-3-8006-4577-0|ger|110 PD 3006 B624(2)|09
001638118|Bitter, Georg|Gesellschaftsrecht|2., neu bearb. Aufl.|2013|978-3-8006-4706-4|ger|110 PE 375 B624(2)|09
001515694|Bitter, Georg|Handelsrecht||2011|978-3-8006-4206-9|ger|110 PE 345 B624|09
001462144|Blackwell, Roger D.|Consumer behavior|10. ed., internat. student ed., [Nachdr.]|2007|978-0-324-37832-0|eng|110 QW 300 B632|08
001578987|Blanchard, Olivier|Macroeconomics|6. ed., global ed.|2013|0-273-76633-3|eng|110 QC 300 B639(6e)|08
001642432|Blanchard, Olivier|Makroökonomie|6., aktualisierte Aufl.|2014|978-3-86894-191-3|ger|110 QC 300 B639(6)|09
001513163|Blankart, Charles B.|Öffentliche Finanzen in der Demokratie|8., vollst. überarb. Aufl.|2011|978-3-8006-4198-7|ger|110 QL 000 B642(8)|08
000559002|Bleckmann, Albert|Staatsrecht||1993|3-452-20124-4|ger|110 PL 400 B646-1|09
000244938|Bleckmann, Albert|Staatsrecht|4., neubearb. Aufl.|1997|3-452-23517-3|ger|110 PL 400 B646-2|09
000976224|Bleicken, Jochen|Geschichte der römischen Republik|6. Aufl.|2004|3-486-49666-2|ger|110 NB 1400 G389|34
000940431|Bless, Herbert|Social cognition|1. publ.|2004|0-86377-829-1|eng|110 CV 3000 B647|03
000908818|Bleymüller, Josef|Statistik für Wirtschaftswissenschaftler|13., überarb. Aufl.|2002|3-8006-2854-6|ger|110 SK 850 B647(13)|11
000757597|Blum, Norbert|Theoretische Informatik||1998|3-486-24279-2|ger|110 ST 130 B658|12
001500812|Blömeke, Sigrid|Professionelle Kompetenz angehender Lehrerinnen und Lehrer||2008|978-3-8309-1940-7|ger|110 DN 7000 B652|05
000934710|Bode, Christoph|Der Roman||2005|3-8252-2580-1|ger|110 EC 4620 B666|27
001683764|Bodie, Zvi|Investments|10., global. ed.|2014|978-0-0771-6114-9|eng|110 QK 530 B667(10)|08
000799583|Bofinger, Peter|Geldpolitik||1996|3-8006-2017-0|ger|110 QK 900 B673|08
001351526|Bogdal, Klaus-Michael|BA-Studium Germanistik|Orig.-Ausg|2008|3-499-55682-0|ger|110 GB 2908 B674|29
001379179|Bogdandy, Armin von|Europäisches Verfassungsrecht|2., vollst. aktualisierte und erw. Aufl.|2009|978-3-540-73809-1|ger|110 PS 3852 B674(2)|09
000886253|Boles, Dietrich|Programmieren spielend gelernt||1999|3-519-02297-4|ger|110 ST 250 J35 B688|12
001615524|Bollée, Annegret|Spanische Sprachgeschichte|1. Aufl.|2013|978-3-12-939017-7|ger|110 IM 1700 A461|30
001374379|Booij, Geert E.|The grammar of words|2. ed.|2007|978-0-19-922624-5|eng|110 ET 350 B724|27
001402419|Borgolte, Michael|Die mittelalterliche Kirche|2. Aufl.|2004|3-486-20026-7|ger|110 NB 1600 B734(2)|34
000904153|Borgolte, Michael|Europa entdeckt seine Vielfalt||2002|3-8252-2298-5|ger|110 NB 2000 B734|34
001548808|Borjas, George J.|Labor economics|6. ed., internat. ed.|2013|978-0-07-132620-9|eng|110 QV 000 B734|08
001494572|Bork, Reinhard|Allgemeiner Teil des Bürgerlichen Gesetzbuchs|3., neubearb. Aufl.|2011|978-3-16-150527-0|ger|110 PD 3006 B734(3)|09
001374355|Borstnar, Nils|Einführung in die Film- und Fernsehwissenschaft|2., überarb. Aufl.|2008|978-3-8252-2362-5|ger|110 AP 43450 B738|25
001227070|Bortz, Jürgen|Forschungsmethoden und Evaluation für Human- und Sozialwissenschaftler|4., überarb. Aufl.|2006|3-540-33305-3|ger|110 MR 2000 B739(4)|06
000731280|Bortz, Jürgen|Kurzgefaßte Statistik für die klinische Forschung||1998|3-540-63738-9|ger|110 SK 850 B739 K96|11
001444957|Bortz, Jürgen|Statistik für Human- und Sozialwissenschaftler|7., vollst. überarb. und erw. Aufl.|2010|978-3-642-12769-4|ger|110 SK 850 B739 S797(7)|11
001264430|Bortz, Jürgen|Statistik für Sozialwissenschaftler|5., vollst. überarb. und aktualisierte Aufl.|1999|3-540-65088-1|ger|110 SK 850 B739|11
001552024|Bosch, Edgar|Praktische Einführung in das verwaltungsgerichtliche Verfahren|9., erw. und überarb. Aufl.|2012|978-3-17-021843-7|ger|110 PN 945 B742(9)|09
001016563|Bosch, Karl|Elementare Einführung in die angewandte Statistik|7., verb. u. erw. Aufl.|2000|3-528-67227-7|ger|110 SK 850 B742|11
001621844|Bosch, Siegfried|Algebra|8., korr. Aufl.|2013|978-3-642-39566-6|ger|110 SK 200 B742(8)|11
001365033|Bosch, Siegfried|Lineare Algebra|4., überarb. Aufl.|2008|978-3-540-76437-3|ger|110 SK 220 B742|11
000892506|Boshof, Egon|Grundlagen des Studiums der Geschichte|4., überarb. Aufl.|1994|3-412-10593-7|ger|110 NB 1100 B743|34
001456489|Boshof, Egon|Königtum und Königsherrschaft im 10. und 11. Jahrhundert|3., aktualisierte und um einen Nachtrag erw. Aufl.|2010|978-3-486-59237-5|ger|110 NB 1600 B743|34
